Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
0	0.053675	-0.054508	0	350.00	7.9917e-01
1	0.053758	-0.054478	0	0.00	1.1500e-03
0	0.044970	-0.044006	0	350.00	7.9947e-01
1	0.045030	-0.043953	0	0.00	1.1500e-03
0	0.053818	-0.054425	0	350.00	7.9947e-01
1	0.053901	-0.054395	0	0.00	1.1500e-03
0	0.045101	-0.043905	0	350.00	7.9955e-01
1	0.045155	-0.043840	0	0.00	1.1500e-03
0	0.053967	-0.054347	0	350.00	7.9963e-01
1	0.054038	-0.054300	0	0.00	1.1500e-03
0	0.045226	-0.043798	0	350.00	7.9936e-01
1	0.045280	-0.043733	0	0.00	1.1500e-03
0	0.054103	-0.054252	0	350.00	7.9944e-01
1	0.054181	-0.054216	0	0.00	1.1500e-03
0	0.045351	-0.043697	0	350.00	7.9966e-01
1	0.045404	-0.043631	0	0.00	1.1500e-03
0	0.054240	-0.054163	0	350.00	7.9925e-01
1	0.054312	-0.054115	0	0.00	1.1500e-03
0	0.045470	-0.043584	0	350.00	7.9947e-01
1	0.045535	-0.043530	0	0.00	1.1500e-03
0	0.054371	-0.054062	0	350.00	7.9925e-01
1	0.054448	-0.054026	0	0.00	1.1500e-03
0	0.045595	-0.043477	0	350.00	7.9955e-01
1	0.045660	-0.043423	0	0.00	1.1500e-03
0	0.054496	-0.053961	0	350.00	7.9952e-01
1	0.054585	-0.053931	0	0.00	1.1500e-03
0	0.045726	-0.043381	0	350.00	7.9977e-01
1	0.045779	-0.043316	0	0.00	1.1500e-03
0	0.054633	-0.053865	0	350.00	7.9955e-01
1	0.054710	-0.053830	0	0.00	1.1500e-03
0	0.045857	-0.043280	0	350.00	7.9955e-01
1	0.045898	-0.043203	0	0.00	1.1500e-03
0	0.054764	-0.053770	0	350.00	7.9963e-01
1	0.054829	-0.053717	0	0.00	1.1500e-03
0	0.045970	-0.043161	0	350.00	8.0004e-01
1	0.046035	-0.043108	0	0.00	1.1500e-03
0	0.054883	-0.053657	0	350.00	7.9933e-01
1	0.054954	-0.053615	0	0.00	1.1500e-03
0	0.046101	-0.043066	0	350.00	7.9955e-01
1	0.046154	-0.043001	0	0.00	1.1500e-03
0	0.055002	-0.053544	0	350.00	7.9906e-01
1	0.055085	-0.053508	0	0.00	1.1500e-03
0	0.046255	-0.042989	0	350.00	7.9966e-01
1	0.046327	-0.042947	0	0.00	1.1500e-03
0	0.055127	-0.053437	0	350.00	7.9955e-01
1	0.055198	-0.053389	0	0.00	1.1500e-03
0	0.046434	-0.042947	0	350.00	7.9958e-01
1	0.046493	-0.042894	0	0.00	1.1500e-03
0	0.055246	-0.053324	0	350.00	7.9977e-01
1	0.055317	-0.053276	0	0.00	1.1500e-03
0	0.046606	-0.042894	0	350.00	7.9958e-01
1	0.046678	-0.042852	0	0.00	1.1500e-03
0	0.055359	-0.053205	0	350.00	7.9946e-01
1	0.055430	-0.053157	0	0.00	1.1500e-03
0	0.046785	-0.042858	0	350.00	7.9922e-01
1	0.046844	-0.042798	0	0.00	1.1500e-03
0	0.055478	-0.053092	0	350.00	7.9969e-01
1	0.055537	-0.053032	0	0.00	1.1500e-03
0	0.046951	-0.042804	0	350.00	7.9964e-01
1	0.047023	-0.042763	0	0.00	1.1500e-03
0	0.055579	-0.052955	0	350.00	7.9925e-01
1	0.055656	-0.052919	0	0.00	1.1500e-03
0	0.047124	-0.042751	0	350.00	7.9964e-01
1	0.047201	-0.042721	0	0.00	1.1500e-03
0	0.055698	-0.052842	0	350.00	7.9967e-01
1	0.055752	-0.052782	0	0.00	1.1500e-03
0	0.047297	-0.042703	0	350.00	7.9975e-01
1	0.047380	-0.042673	0	0.00	1.1500e-03
0	0.055805	-0.052717	0	350.00	7.9936e-01
1	0.055859	-0.052652	0	0.00	1.1500e-03
0	0.047469	-0.042656	0	350.00	7.9939e-01
1	0.047552	-0.042626	0	0.00	1.1500e-03
0	0.055906	-0.052580	0	350.00	7.9970e-01
1	0.055966	-0.052527	0	0.00	1.1500e-03
0	0.047654	-0.042614	0	350.00	7.9978e-01
1	0.047725	-0.042572	0	0.00	1.1500e-03
0	0.056007	-0.052443	0	350.00	7.9910e-01
1	0.056067	-0.052390	0	0.00	1.1500e-03
0	0.047820	-0.042560	0	350.00	7.9942e-01
1	0.047903	-0.042531	0	0.00	1.1500e-03
0	0.056097	-0.052300	0	350.00	7.9941e-01
1	0.056162	-0.052247	0	0.00	1.1500e-03
