Mode	X(m)	Y(m)	Z(m)	Power(W)	tParam
0	0.046160	-0.042995	0.000000	350	0.8
0	0.046053	-0.043024	0.000000	0	0.006
0	0.057322	-0.049534	0.000000	350	0.8
0	0.057310	-0.049617	0.000000	0	0.005
0	0.045940	-0.043054	0.000000	350	0.799
0	0.045827	-0.043084	0.000000	0	0.007
0	0.057287	-0.049700	0.000000	350	0.8
0	0.057263	-0.049784	0.000000	0	0.005
0	0.045714	-0.043114	0.000000	350	0.8
0	0.045601	-0.043143	0.000000	0	0.007
0	0.057233	-0.049861	0.000000	350	0.8
0	0.057227	-0.049950	0.000000	0	0.005
0	0.045494	-0.043173	0.000000	350	0.799
0	0.045381	-0.043203	0.000000	0	0.006
0	0.057197	-0.050028	0.000000	350	0.799
0	0.057174	-0.050111	0.000000	0	0.005
0	0.045268	-0.043233	0.000000	350	0.799
0	0.045155	-0.043262	0.000000	0	0.006
0	0.057150	-0.050188	0.000000	350	0.799
0	0.057126	-0.050272	0.000000	0	0.005
0	0.045041	-0.043292	0.000000	350	0.8
0	0.044934	-0.043322	0.000000	0	0.006
0	0.057096	-0.050349	0.000000	350	0.799
0	0.057072	-0.050426	0.000000	0	0.004
0	0.044827	-0.043358	0.000000	350	0.8
0	0.044714	-0.043387	0.000000	0	0.006
0	0.057037	-0.050504	0.000000	350	0.799
0	0.057025	-0.050587	0.000000	0	0.004
0	0.044595	-0.043417	0.000000	350	0.799
0	0.044482	-0.043447	0.000000	0	0.006
0	0.056983	-0.050658	0.000000	350	0.8
0	0.056965	-0.050742	0.000000	0	0.004
0	0.044381	-0.043477	0.000000	350	0.799
0	0.044256	-0.043500	0.000000	0	0.007
0	0.056930	-0.050819	0.000000	350	0.8
0	0.056894	-0.050896	0.000000	0	0.004
0	0.044155	-0.043536	0.000000	350	0.8
0	0.044030	-0.043560	0.000000	0	0.007
0	0.056858	-0.050968	0.000000	350	0.8
0	0.056840	-0.051051	0.000000	0	0.004
0	0.043923	-0.043596	0.000000	350	0.8
0	0.043857	-0.043649	0.000000	0	0.004
0	0.056781	-0.051111	0.000000	350	0.799
0	0.056775	-0.051206	0.000000	0	0.005
0	0.043810	-0.043715	0.000000	350	0.8
0	0.043762	-0.043786	0.000000	0	0.004
0	0.056727	-0.051271	0.000000	350	0.799
0	0.056692	-0.051343	0.000000	0	0.004
0	0.043727	-0.043857	0.000000	350	0.799
0	0.043667	-0.043917	0.000000	0	0.004
0	0.056650	-0.051414	0.000000	350	0.8
0	0.056620	-0.051491	0.000000	0	0.004
0	0.043625	-0.043988	0.000000	350	0.799
0	0.043584	-0.044060	0.000000	0	0.004
0	0.056567	-0.051557	0.000000	350	0.8
0	0.056543	-0.051634	0.000000	0	0.004
